ID,Summary_Group,Summary_Type,FormatCode,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Total,BatchNo,AuditDate,Hotel_ID
1,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070026,2021-12-19,1
2,Key Staticstics,Room Occupied,N,44.00,58.00,46.00,44.00,105.00,137.00,35.00,469.00,20220419-070026,2021-12-19,1
3,Key Staticstics,# of Guest,N,72.00,89.00,80.00,73.00,174.00,260.00,63.00,811.00,20220419-070026,2021-12-19,1
4,Key Staticstics,Room Density,N2,1.64,1.53,1.74,1.66,1.66,1.90,1.80,1.73,20220419-070026,2021-12-19,1
5,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
6,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
7,Key Staticstics,Occupancy %,P,17.19,22.66,17.97,17.19,41.02,53.52,13.67,26.17,20220419-070026,2021-12-19,1
8,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
9,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070026,2021-12-19,1
10,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
11,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
12,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
13,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070026,2021-12-19,1
14,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070026,2021-12-19,1
15,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
16,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
17,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
18,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
19,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070026,2021-12-19,1
20,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070042,2021-12-20,1
21,Key Staticstics,Room Occupied,N,58.00,46.00,44.00,105.00,137.00,35.00,39.00,464.00,20220419-070042,2021-12-20,1
22,Key Staticstics,# of Guest,N,89.00,80.00,73.00,174.00,260.00,63.00,67.00,806.00,20220419-070042,2021-12-20,1
23,Key Staticstics,Room Density,N2,1.53,1.74,1.66,1.66,1.90,1.80,1.72,1.74,20220419-070042,2021-12-20,1
24,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
25,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
26,Key Staticstics,Occupancy %,P,22.66,17.97,17.19,41.02,53.52,13.67,15.23,25.89,20220419-070042,2021-12-20,1
27,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
28,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070042,2021-12-20,1
29,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
30,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
31,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
32,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070042,2021-12-20,1
33,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070042,2021-12-20,1
34,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
35,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
36,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
37,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
38,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070042,2021-12-20,1
39,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070045,2021-12-21,1
40,Key Staticstics,Room Occupied,N,46.00,44.00,105.00,137.00,35.00,39.00,42.00,448.00,20220419-070045,2021-12-21,1
41,Key Staticstics,# of Guest,N,80.00,73.00,174.00,260.00,63.00,67.00,81.00,798.00,20220419-070045,2021-12-21,1
42,Key Staticstics,Room Density,N2,1.74,1.66,1.66,1.90,1.80,1.72,1.93,1.78,20220419-070045,2021-12-21,1
43,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
44,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
45,Key Staticstics,Occupancy %,P,17.97,17.19,41.02,53.52,13.67,15.23,16.41,25.00,20220419-070045,2021-12-21,1
46,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
47,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070045,2021-12-21,1
48,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
49,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
50,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
51,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070045,2021-12-21,1
52,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070045,2021-12-21,1
53,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
54,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
55,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
56,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
57,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070045,2021-12-21,1
58,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070048,2021-12-22,1
59,Key Staticstics,Room Occupied,N,44.00,105.00,137.00,35.00,39.00,42.00,68.00,470.00,20220419-070048,2021-12-22,1
60,Key Staticstics,# of Guest,N,73.00,174.00,260.00,63.00,67.00,81.00,119.00,837.00,20220419-070048,2021-12-22,1
61,Key Staticstics,Room Density,N2,1.66,1.66,1.90,1.80,1.72,1.93,1.75,1.78,20220419-070048,2021-12-22,1
62,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
63,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
64,Key Staticstics,Occupancy %,P,17.19,41.02,53.52,13.67,15.23,16.41,26.56,26.23,20220419-070048,2021-12-22,1
65,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
66,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070048,2021-12-22,1
67,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
68,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
69,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
70,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070048,2021-12-22,1
71,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070048,2021-12-22,1
72,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
73,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
74,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
75,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
76,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070048,2021-12-22,1
77,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070051,2021-12-23,1
78,Key Staticstics,Room Occupied,N,105.00,137.00,35.00,39.00,42.00,68.00,67.00,493.00,20220419-070051,2021-12-23,1
79,Key Staticstics,# of Guest,N,174.00,260.00,63.00,67.00,81.00,119.00,129.00,893.00,20220419-070051,2021-12-23,1
80,Key Staticstics,Room Density,N2,1.66,1.90,1.80,1.72,1.93,1.75,1.93,1.81,20220419-070051,2021-12-23,1
81,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
82,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
83,Key Staticstics,Occupancy %,P,41.02,53.52,13.67,15.23,16.41,26.56,26.17,27.51,20220419-070051,2021-12-23,1
84,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
85,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070051,2021-12-23,1
86,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
87,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
88,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
89,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070051,2021-12-23,1
90,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070051,2021-12-23,1
91,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
92,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
93,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
94,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
95,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070051,2021-12-23,1
96,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070054,2021-12-24,1
97,Key Staticstics,Room Occupied,N,137.00,35.00,39.00,42.00,68.00,67.00,48.00,436.00,20220419-070054,2021-12-24,1
98,Key Staticstics,# of Guest,N,260.00,63.00,67.00,81.00,119.00,129.00,82.00,801.00,20220419-070054,2021-12-24,1
99,Key Staticstics,Room Density,N2,1.90,1.80,1.72,1.93,1.75,1.93,1.71,1.84,20220419-070054,2021-12-24,1
100,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
101,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
102,Key Staticstics,Occupancy %,P,53.52,13.67,15.23,16.41,26.56,26.17,18.75,24.33,20220419-070054,2021-12-24,1
103,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
104,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070054,2021-12-24,1
105,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
106,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
107,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
108,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070054,2021-12-24,1
109,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070054,2021-12-24,1
110,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
111,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
112,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
113,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
114,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070054,2021-12-24,1
115,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070057,2021-12-25,1
116,Key Staticstics,Room Occupied,N,35.00,39.00,42.00,68.00,67.00,48.00,54.00,353.00,20220419-070057,2021-12-25,1
117,Key Staticstics,# of Guest,N,63.00,67.00,81.00,119.00,129.00,82.00,99.00,640.00,20220419-070057,2021-12-25,1
118,Key Staticstics,Room Density,N2,1.80,1.72,1.93,1.75,1.93,1.71,1.83,1.81,20220419-070057,2021-12-25,1
119,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
120,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
121,Key Staticstics,Occupancy %,P,13.67,15.23,16.41,26.56,26.17,18.75,21.09,19.70,20220419-070057,2021-12-25,1
122,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
123,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070057,2021-12-25,1
124,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
125,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
126,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
127,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070057,2021-12-25,1
128,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070057,2021-12-25,1
129,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
130,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
131,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
132,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
133,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070057,2021-12-25,1
134,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070100,2021-12-26,1
135,Key Staticstics,Room Occupied,N,39.00,42.00,68.00,67.00,48.00,54.00,72.00,390.00,20220419-070100,2021-12-26,1
136,Key Staticstics,# of Guest,N,67.00,81.00,119.00,129.00,82.00,99.00,127.00,704.00,20220419-070100,2021-12-26,1
137,Key Staticstics,Room Density,N2,1.72,1.93,1.75,1.93,1.71,1.83,1.76,1.81,20220419-070100,2021-12-26,1
138,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
139,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
140,Key Staticstics,Occupancy %,P,15.23,16.41,26.56,26.17,18.75,21.09,28.13,21.76,20220419-070100,2021-12-26,1
141,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
142,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070100,2021-12-26,1
143,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
144,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
145,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
146,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070100,2021-12-26,1
147,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070100,2021-12-26,1
148,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
149,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
150,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
151,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
152,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070100,2021-12-26,1
153,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070103,2021-12-27,1
154,Key Staticstics,Room Occupied,N,42.00,68.00,67.00,48.00,54.00,72.00,62.00,413.00,20220419-070103,2021-12-27,1
155,Key Staticstics,# of Guest,N,81.00,119.00,129.00,82.00,99.00,127.00,118.00,755.00,20220419-070103,2021-12-27,1
156,Key Staticstics,Room Density,N2,1.93,1.75,1.93,1.71,1.83,1.76,1.90,1.83,20220419-070103,2021-12-27,1
157,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
158,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
159,Key Staticstics,Occupancy %,P,16.41,26.56,26.17,18.75,21.09,28.13,24.22,23.05,20220419-070103,2021-12-27,1
160,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
161,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070103,2021-12-27,1
162,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
163,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
164,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
165,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070103,2021-12-27,1
166,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070103,2021-12-27,1
167,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
168,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
169,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
170,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
171,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070103,2021-12-27,1
172,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070106,2021-12-28,1
173,Key Staticstics,Room Occupied,N,68.00,67.00,48.00,54.00,72.00,62.00,42.00,413.00,20220419-070106,2021-12-28,1
174,Key Staticstics,# of Guest,N,119.00,129.00,82.00,99.00,127.00,118.00,87.00,761.00,20220419-070106,2021-12-28,1
175,Key Staticstics,Room Density,N2,1.75,1.93,1.71,1.83,1.76,1.90,2.07,1.84,20220419-070106,2021-12-28,1
176,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
177,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
178,Key Staticstics,Occupancy %,P,26.56,26.17,18.75,21.09,28.13,24.22,16.41,23.05,20220419-070106,2021-12-28,1
179,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
180,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070106,2021-12-28,1
181,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
182,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
183,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
184,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070106,2021-12-28,1
185,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070106,2021-12-28,1
186,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
187,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
188,Total Revenue,Car Parking,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
189,Total Revenue,Other Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
190,Total Revenue,Forward Holding,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070106,2021-12-28,1
191,Key Staticstics,Room Available,N,256.00,256.00,256.00,256.00,256.00,256.00,256.00,1792.00,20220419-070109,2021-12-29,1
192,Key Staticstics,Room Occupied,N,67.00,48.00,54.00,72.00,62.00,42.00,34.00,379.00,20220419-070109,2021-12-29,1
193,Key Staticstics,# of Guest,N,129.00,82.00,99.00,127.00,118.00,87.00,65.00,707.00,20220419-070109,2021-12-29,1
194,Key Staticstics,Room Density,N2,1.93,1.71,1.83,1.76,1.90,2.07,1.91,1.87,20220419-070109,2021-12-29,1
195,Key Staticstics,No of Arrivals,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
196,Key Staticstics,No of Departure,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
197,Key Staticstics,Occupancy %,P,26.17,18.75,21.09,28.13,24.22,16.41,13.28,21.15,20220419-070109,2021-12-29,1
198,Key Staticstics,Avg Daily Rate,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
199,Key Staticstics,RevPAR,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070109,2021-12-29,1
200,Total Revenue,Total Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
201,Total Revenue,Total Rev POR,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
202,Total Revenue,Avg Spend/Guest,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
203,Total Revenue,Breakfast Capture %,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20220419-070109,2021-12-29,1
204,Total Revenue,Avg Bkfst Spend/Cover,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20220419-070109,2021-12-29,1
205,Total Revenue,Room Revenue,C2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
206,Total Revenue,F&B Revenue,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,20220419-070109,2021-12-29,1
