S_NightAudit_ID,User_ID,IP_Address,Action,Dated,Browser_Used,ReportRun_ID
2127,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-16 07:50:20.000,Chrome,979
2129,4,110.93.82.151,Viewed CC Surcharge Report Output Details,2022-01-16 07:57:15.000,Chrome,967
2130,4,110.93.82.151,Viewed Adjustment and Correction Report Output Details,2022-01-16 07:57:16.000,Chrome,968
2131,4,110.93.82.151,Viewed Rate Check Report Output Details,2022-01-16 07:57:18.000,Chrome,969
2132,4,110.93.82.151,Viewed PM PX Accounts Report Output Details,2022-01-16 07:57:21.000,Chrome,970
2133,4,110.93.82.151,Viewed Out of Order Service Rooms Report Output Details,2022-01-16 07:57:22.000,Chrome,971
2134,4,110.93.82.151,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-16 07:57:24.000,Chrome,972
2135,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-16 07:57:26.000,Chrome,973
2136,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-16 07:57:28.000,Chrome,980
2137,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-16 07:57:29.000,Chrome,981
2138,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-16 07:57:30.000,Chrome,982
2139,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-16 07:57:32.000,Chrome,983
2140,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-16 07:57:33.000,Chrome,984
2231,21,59.100.129.30,Viewed Credit Limit Report Output Details,2022-01-18 03:47:39.000,Chrome,1045
2243,25,20.92.196.55,Viewed No Shows Report Output Details,2022-01-18 06:32:30.000,Chrome,1008
2244,25,20.92.196.55,Viewed FO Paid Out Report Output Details,2022-01-18 06:32:35.000,Chrome,1009
2052,25,112.202.225.60,Viewed CC Surcharge Report Output Details,2022-01-15 07:17:29.000,Chrome,946
2053,25,112.202.225.60,Viewed Adjustment and Correction Report Output Details,2022-01-15 07:17:35.000,Chrome,947
2090,4,110.93.82.151,Viewed CC Surcharge Report Output Details,2022-01-15 08:20:41.000,Chrome,946
2093,5,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-16 01:52:51.000,Chrome,959
2095,21,59.100.129.30,Viewed CC Surcharge Report Output Details,2022-01-16 01:55:57.000,Chrome,967
2099,21,59.100.129.30,Viewed Room Reconciliation Before Roll Report Output Details,2022-01-16 01:59:26.000,Chrome,972
2145,7,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-16 20:40:51.000,Chrome,913
2146,7,59.100.129.30,Viewed Rate Check Report Output Details,2022-01-16 20:42:00.000,Chrome,974
2245,25,20.92.196.55,Viewed Credit Limit Report Output Details,2022-01-18 06:32:40.000,Chrome,1010
2246,25,20.92.196.55,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-18 06:43:54.000,Chrome,1006
2281,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-18 07:58:29.000,Chrome,1017
2282,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-18 07:58:30.000,Chrome,1045
2283,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-18 07:59:38.000,Chrome,1045
2284,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-18 07:59:38.000,Chrome,1044
2285,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-18 07:59:38.000,Chrome,1042
2286,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-18 07:59:39.000,Chrome,1043
2287,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-18 07:59:39.000,Chrome,1041
2288,4,110.93.82.151,Viewed Out of Order Service Rooms Report Output Details,2022-01-18 07:59:40.000,Chrome,1034
2289,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-18 07:59:41.000,Chrome,1017
2290,4,110.93.82.151,Viewed PM PX Accounts Report Output Details,2022-01-18 07:59:41.000,Chrome,1030
2291,4,110.93.82.151,Viewed Rate Check Report Output Details,2022-01-18 07:59:42.000,Chrome,1027
2292,4,110.93.82.151,Viewed Adjustment and Correction Report Output Details,2022-01-18 07:59:43.000,Chrome,1026
2295,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-18 08:26:35.000,Chrome,1017
2296,4,110.93.82.151,Viewed Ogone Deposit Posting Report Output Details,2022-01-18 08:32:33.000,Chrome,1017
2297,4,110.93.82.151,Viewed PM PX Accounts NA16 Report Report Output Details,2022-01-18 08:33:03.000,Chrome,1041
2298,4,110.93.82.151,Viewed Room Reconciliation After Roll Report Output Details,2022-01-18 08:33:05.000,Chrome,1042
2299,4,110.93.82.151,Viewed No Shows Report Output Details,2022-01-18 08:33:07.000,Chrome,1043
2300,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-18 08:33:13.000,Chrome,1044
2301,4,110.93.82.151,Viewed Credit Limit Report Output Details,2022-01-18 08:33:15.000,Chrome,1045
2302,4,110.93.82.151,Viewed FO Paid Out Report Output Details,2022-01-18 08:33:38.000,Chrome,1044
2309,25,20.92.196.55,Viewed CC Surcharge Report Output Details,2022-01-18 08:40:39.000,Chrome,1018
